caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT
3370,1,5,33,18,1,White,85,40,30
3371,1,7,78,20,0,White,100,30,0
3372,1,7,51,21,0,White,75,25,35
3373,2,1,31,17,0,White,0,70,60
3376,2,2,40,24,1,White,30,85,70
3378,3,1,35,18,1,White,30,60,60
3379,1,7,82,2,1,White,100,50,50
3381,1,5,28,20,0,White,70,0,50
3383,2,1,43,18,0,White,30,85,60
3384,3,5,51,21,1,White,40,60,70
3385,1,7,55,13,0,White,85,0,60
3386,1,4,65,13,1,White,70,50,50
3387,1,5,40,22,0,White,85,0,60
3388,2,2,51,21,1,White,60,70,0
3389,3,2,60,21,1,White,30,70,15
3390,3,3,28,20,0,White,15,50,70
3391,1,6,24,16,1,White,70,0,40
3393,1,6,30,16,0,White,85,40,85
3394,1,6,37,16,0,White,60,15,15
3401,3,5,32,21,0,White,60,50,50
3402,3,3,22,10,1,White,50,65,80
3403,1,5,46,18,0,White,70,60,70
3404,1,1,48,20,1,Non-White,0,70,50
3406,2,3,40,16,1,Non-White,50,85,50
3408,1,6,31,11,0,White,100,70,72
3409,2,2,33,17,1,White,40,60,15
3410,2,1,53,19,1,White,40,100,30
3411,3,2,50,21,0,White,60,60,85
3412,1,5,51,19,0,White,85,40,40
3413,1,5,23,8,1,White,60,50,70
3414,1,2,53,13,1,White,50,50,50
3415,2,1,59,2,1,White,60,60,0
3417,2,3,43,24,1,White,50,85,30
3418,1,6,29,24,1,White,70,15,85
3421,2,2,74,11,0,White,10,60,60
3422,2,1,26,17,1,White,30,85,60
3423,2,1,53,20,1,White,72,85,70
3424,2,5,40,24,1,White,30,85,85
3425,2,1,58,22,1,White,15,85,25
3426,3,3,32,20,1,White,60,60,85
3427,3,7,53,9,0,White,40,50,60
3428,2,2,37,21,1,Non-White,0,60,40
3429,1,7,39,19,0,White,85,0,0
3430,2,2,29,21,0,Non-White,60,60,50
3431,1,2,35,20,0,White,85,40,0
3433,1,7,27,18,1,White,70,0,30
3434,1,6,65,21,0,White,70,30,15
3435,2,4,47,16,0,White,70,60,50
3436,2,3,29,19,1,White,30,85,60
3437,2,2,65,12,0,White,40,60,40
3438,2,2,38,21,1,White,15,40,0
3439,1,5,55,24,1,White,60,35,60
3440,1,6,20,3,1,White,85,30,15
3441,3,6,68,16,0,White,85,60,50
3444,1,6,39,21,0,White,60,30,0
3445,2,1,23,1,1,Non-White,0,60,0
3446,2,1,46,9,1,Non-White,50,60,50
3447,3,3,27,16,0,White,0,70,100
3449,3,2,23,19,0,White,40,60,50
3451,3,3,30,20,0,White,60,70,70
3455,2,4,55,19,1,White,60,40,85
3456,2,2,22,13,1,White,40,70,30
3460,2,1,48,17,1,White,0,25,0
3461,2,5,18,13,1,White,50,70,40
3462,1,7,31,22,0,White,70,40,50
3464,1,7,64,21,0,White,100,50,0
3466,3,5,53,13,1,White,50,10,75
3467,1,5,20,15,0,White,15,50,70
