caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT
3977,2,4,60,24,0,White,15,85,60
3978,2,2,43,24,0,White,15,60,70
3980,2,1,57,18,0,Non-White,60,70,0
3982,2,4,37,21,1,Non-White,0,60,85
3984,2,2,42,1,1,Non-White,30,60,30
3986,2,3,30,15,0,Non-White,0,70,60
3987,3,4,30,14,0,White,60,70,100
3988,2,3,34,13,0,White,0,70,50
3989,2,2,49,12,1,White,50,60,50
3990,3,2,19,2,0,White,0,85,70
3991,3,6,19,19,0,White,70,50,60
3992,3,7,35,17,0,White,70,50,85
3995,3,6,52,21,0,White,60,15,85
3996,2,1,41,19,0,White,0,70,30
3997,1,5,36,17,1,White,85,30,60
4001,2,3,19,21,1,Non-White,50,85,50
4002,3,2,39,20,1,White,30,40,50
4003,3,3,51,18,1,White,0,50,85
4004,1,2,58,16,0,White,50,30,15
5001,1,5,41,20,1,White,70,40,60
5002,2,1,81,4,1,White,25,80,0
5003,1,7,55,19,0,White,70,30,40
5004,2,1,61,16,0,White,40,85,100
5006,2,3,40,19,0,White,60,70,50
5009,1,6,39,18,1,White,50,50,0
5012,3,6,40,22,1,White,70,70,70
5014,2,1,53,13,1,Non-White,70,85,70
5016,2,1,72,4,1,White,50,70,15
5022,2,1,69,4,1,White,0,100,0
5023,3,1,60,20,1,White,30,60,100
5024,2,1,59,17,1,Non-White,0,100,15
5025,2,3,20,4,0,White,40,60,70
5026,1,3,21,6,1,White,30,40,50
5028,1,5,62,21,0,White,70,40,50
5029,2,1,68,12,0,White,30,85,0
5034,3,2,24,19,1,White,85,60,70
5036,2,1,83,9,0,White,30,70,15
5038,3,2,37,21,0,White,15,70,50
5039,1,7,53,21,0,White,85,40,30
5041,2,3,20,3,1,Non-White,50,85,0
5043,3,7,63,18,0,White,85,60,40
5046,3,2,74,11,0,White,70,60,85
5047,1,3,33,16,1,White,60,40,30
5048,1,7,48,23,1,White,70,30,30
5049,1,7,58,20,0,White,100,50,50
5051,2,5,21,2,1,Non-White,40,85,60
5053,2,1,29,8,0,Non-White,30,95,75
5054,1,6,50,16,0,White,100,15,15
5055,3,6,67,11,1,White,70,15,60
5056,1,7,39,19,1,White,100,0,15
5058,1,6,83,4,1,White,70,50,0
5060,2,3,54,24,0,White,0,70,60
5061,2,3,71,4,1,White,60,70,50
5062,2,2,86,4,1,White,60,30,40
5064,1,6,50,17,0,White,60,60,85
5066,2,3,69,7,1,White,50,60,50
5070,2,2,40,21,1,White,15,70,0
5071,3,2,26,13,0,Non-White,50,60,70
5072,2,4,67,16,1,White,40,85,40
5073,2,6,34,23,1,White,70,85,85
5074,2,2,48,18,1,White,40,60,60
5076,3,2,39,16,0,White,0,60,85
5077,3,5,49,19,0,White,70,30,60
5078,2,4,44,21,0,White,15,85,40
5080,3,6,40,15,0,White,60,70,100
5082,2,2,58,19,0,White,25,60,50
5083,1,7,40,19,0,White,85,0,0
5085,1,7,58,13,1,White,85,30,50
5086,2,2,77,15,0,White,30,85,70
5087,2,1,64,8,0,White,15,100,0
5088,2,3,68,15,1,White,50,75,10
5090,1,5,45,20,0,White,70,50,40
5091,1,7,52,18,0,White,70,60,30
5095,2,1,35,17,0,White,0,85,30
5096,2,3,77,16,1,White,0,85,0
5097,1,5,34,17,0,White,60,40,20
5098,1,6,39,17,0,White,70,50,50
5100,1,6,60,16,0,White,70,40,40
5101,2,1,82,13,0,White,85,100,50
5103,3,6,29,13,0,White,60,15,85
5105,2,1,70,4,1,White,50,85,50
5106,1,6,27,11,1,White,70,50,50
5107,1,7,61,21,0,White,70,30,30
5108,3,6,79,11,1,White,60,65,70
5109,1,7,66,8,1,White,85,60,70
5110,2,3,63,14,0,White,30,85,70
5111,2,1,37,9,0,White,0,85,15
5113,2,2,43,17,1,White,15,85,0
5114,1,3,46,15,1,White,70,40,0
5115,2,2,60,20,1,White,50,60,0
5116,2,4,82,21,0,White,60,60,50
5118,3,3,61,4,1,White,70,100,50
5119,3,4,21,20,0,White,70,40,50
5121,2,1,50,21,1,White,60,60,30
5122,2,3,50,22,1,White,40,60,85
5124,2,2,56,24,1,White,40,70,15
5126,3,3,30,1,0,White,15,60,0
5127,1,7,63,15,0,White,60,15,70
5128,3,2,43,20,1,White,15,60,100
5129,3,2,82,6,0,White,60,0,40
5130,3,3,33,15,0,White,40,40,70
5131,1,6,32,20,0,White,100,40,40
5132,1,7,32,14,0,White,85,0,15
5133,1,5,50,12,1,White,70,50,60
5134,2,6,75,16,0,White,85,90,50
5135,3,6,54,24,0,White,60,40,50
5136,3,6,29,20,1,White,70,60,40
5137,2,4,46,20,0,White,40,70,50
5139,2,2,64,11,1,White,0,60,0
5141,2,3,71,15,0,White,50,70,50
5142,2,1,60,21,0,White,50,70,50
5143,2,2,46,6,1,White,60,85,70
5144,2,1,57,20,1,White,0,100,40
5145,2,1,76,10,1,White,50,85,50
5146,2,1,77,9,1,White,30,85,100
5148,2,2,37,14,1,White,15,60,15
5150,2,1,82,14,0,White,0,60,50
5151,1,6,33,22,0,White,40,15,0
5152,1,5,36,15,1,White,60,60,15
5153,3,2,28,20,0,White,60,60,30
5154,2,2,64,6,1,Non-White,50,50,50
5155,1,4,68,9,1,Non-White,40,30,0
5156,1,7,61,21,0,White,70,0,15
5157,1,6,35,19,0,White,85,0,0
5159,2,3,36,17,1,White,60,60,40
5162,2,1,71,3,1,White,30,100,15
5163,2,2,39,20,0,White,35,75,40
5164,3,6,37,20,1,White,60,40,60
5165,1,4,60,12,1,White,50,50,50
5166,2,4,70,13,1,White,50,70,50
5167,2,2,30,12,1,Non-White,30,60,50
5168,1,5,58,16,0,White,40,50,50
5169,1,6,28,14,0,White,85,50,40
5170,3,6,36,16,1,White,60,40,40
5171,1,6,43,21,0,White,85,15,60
5172,2,1,41,20,1,White,30,60,30
5176,1,2,29,11,1,White,85,40,0
5177,2,1,61,2,0,White,0,85,60
5178,3,1,67,10,1,White,0,60,0
5179,2,1,38,1,0,Non-White,50,85,60
5180,3,2,65,15,0,White,30,60,70
5182,2,1,38,19,0,Non-White,60,60,50
5183,2,1,72,4,1,White,40,100,30
5185,1,6,37,14,0,White,70,50,30
5186,1,4,44,15,1,White,70,60,50
5187,3,1,45,3,1,White,0,100,60
5191,1,7,76,15,1,White,85,50,0
5192,2,2,24,19,0,White,50,75,65
5193,3,4,62,21,0,White,60,40,85
5201,2,2,36,14,0,White,85,70,100
5202,1,6,30,15,1,White,85,50,60
5207,1,7,81,17,1,White,85,40,60
5208,2,1,33,15,1,White,30,70,50
5209,2,4,25,15,1,White,15,85,50
5210,2,1,74,4,1,White,50,60,40
5211,2,2,53,23,1,White,50,75,25
5212,2,1,59,5,0,Non-White,30,85,15
5214,2,1,81,6,0,White,0,85,0
5218,1,5,29,16,0,White,60,40,15
5220,2,2,33,12,1,White,80,90,80
5221,1,6,53,12,1,White,70,40,40
5224,2,2,51,16,0,Non-White,50,85,40
5227,1,6,34,19,0,White,85,30,60
5229,1,7,58,16,1,White,100,0,15
5230,3,2,44,20,0,White,70,40,85
5231,3,5,42,24,0,White,30,50,85
5232,1,6,25,24,1,White,60,0,50
5233,2,2,27,17,0,White,40,60,50
5234,2,1,57,6,0,Non-White,0,100,0
5235,3,7,37,15,0,White,85,50,70
5238,1,5,74,9,1,White,40,30,30
5239,2,4,55,15,0,White,70,70,40
5240,2,1,79,6,1,White,40,85,85
5242,2,1,37,21,1,White,0,85,50
5244,1,6,75,11,1,White,70,50,40
5247,2,3,30,15,0,White,40,60,50
5250,2,6,32,6,1,White,40,60,0
5251,3,5,30,20,0,White,65,60,40
5253,1,6,66,14,0,White,85,30,85
5257,1,7,37,10,0,White,85,0,15
5258,3,3,28,3,1,White,50,60,40
5259,1,6,28,8,1,White,70,70,40
5263,2,2,51,18,1,White,40,60,30
5265,3,6,66,12,0,White,60,50,70
5272,2,1,66,16,1,White,40,100,15
5273,3,3,74,18,0,White,70,85,70
5274,2,1,67,14,0,White,0,85,0
5275,1,6,32,20,0,White,90,40,65
5277,2,3,75,10,1,White,0,100,0
5278,1,6,64,1,1,White,100,60,60
5280,2,4,35,5,1,White,40,50,20
5282,1,5,63,21,0,White,50,50,70
5286,2,4,42,9,0,White,0,70,60
5287,3,5,33,18,0,White,70,30,85
5288,1,6,69,16,0,White,60,30,60
5292,3,3,68,22,1,White,30,60,30
5293,1,4,65,16,1,White,0,50,50
5294,2,1,49,20,0,White,30,85,30
5295,1,6,30,18,0,White,85,40,50
5296,3,5,78,16,0,White,50,50,70
5297,2,3,23,12,1,White,60,70,60
5298,2,3,42,12,0,White,15,60,15
5299,2,3,49,19,0,White,60,70,30
5300,1,6,26,19,1,White,90,10,10
5301,2,1,23,20,0,White,15,70,40
5302,1,7,65,14,1,White,85,30,50
5303,1,1,36,18,1,White,60,85,60
5305,2,2,91,10,0,White,40,60,70
5306,1,1,78,23,1,White,60,40,30
5307,1,6,76,11,0,White,60,60,60
5308,2,1,76,7,1,White,40,85,50
5309,2,1,38,20,1,White,15,85,60
5310,2,3,47,13,0,White,30,70,50
5311,2,1,41,19,1,Non-White,25,65,50
5312,1,6,48,2,1,White,85,40,50
5314,1,5,41,17,0,White,85,50,50
5315,1,2,71,17,1,White,85,60,70
5316,3,2,29,18,0,White,15,50,60
5317,2,6,28,20,1,White,80,87,50
5318,2,1,35,10,0,White,70,85,50
5322,1,7,70,14,0,Non-White,75,10,50
5326,1,6,34,21,0,White,80,50,60
5327,2,1,35,12,1,Non-White,35,75,0
5328,2,2,40,22,0,White,70,60,0
5329,1,7,71,6,1,White,85,30,0
5330,1,6,70,11,1,White,70,40,15
5331,1,7,56,24,1,White,85,15,0
5332,2,2,35,18,1,White,60,60,15
5333,2,3,47,24,0,White,30,60,40
5335,2,1,68,14,0,Non-White,40,60,50
5336,3,1,87,3,1,White,50,60,85
5337,3,2,41,17,0,White,15,15,50
5340,1,7,43,21,0,White,85,30,40
5343,1,4,32,13,0,White,60,40,40
5345,2,1,27,14,1,White,0,70,60
5346,2,1,81,5,1,White,70,85,50
5347,2,2,73,11,0,White,30,70,0
5348,2,4,63,14,0,White,15,50,0
5350,1,7,81,11,1,White,85,50,15
5351,1,7,83,5,1,White,70,0,15
5352,3,6,69,5,1,White,60,15,40
5354,3,4,30,11,1,White,0,15,85
5355,2,3,20,20,1,White,45,65,55
5356,2,1,46,21,1,White,15,85,0
5358,1,5,77,12,1,White,100,85,60
5359,2,4,37,21,1,White,40,45,60
5360,2,3,36,18,0,White,30,60,50
5362,2,6,53,21,0,Non-White,40,60,0
5363,1,7,35,17,1,White,100,30,30
5364,1,7,70,15,1,White,85,40,30
5367,2,1,48,22,0,White,40,70,30
5369,1,7,83,14,1,White,85,30,15
5371,3,7,66,18,0,White,70,40,50
5372,1,7,29,17,1,White,100,30,0
5374,3,6,30,18,1,White,70,40,60
5375,3,5,29,12,0,White,50,40,60
5376,3,3,21,4,0,White,30,50,40
5377,2,1,80,20,0,Non-White,40,85,0
5379,2,3,37,11,1,White,0,70,15
5380,2,3,43,21,0,White,40,60,0
5381,1,7,83,9,1,White,100,50,50
5384,2,1,64,22,0,Non-White,0,85,15
5385,2,3,60,14,0,White,30,85,60
5386,3,4,36,7,1,White,50,0,100
5387,3,4,51,20,0,White,0,0,100
5388,2,1,39,18,1,White,40,85,40
5390,2,3,64,1,1,White,50,85,70
5391,2,7,35,7,1,Non-White,85,70,60
5392,1,6,33,19,0,White,50,30,30
5393,1,7,75,16,0,White,85,30,0
5397,1,7,50,24,1,White,85,50,50
5398,3,1,37,15,0,White,50,60,70
5402,1,3,76,4,1,White,70,0,0
5403,2,1,55,1,1,White,60,85,50
5404,2,1,56,11,0,White,70,70,50
5405,2,3,74,15,1,White,50,85,30
5407,2,3,63,15,1,White,50,50,0
5408,2,1,66,3,1,White,0,100,15
5412,3,6,57,16,1,White,60,85,15
5413,2,1,84,12,0,White,0,100,0
5414,1,7,61,15,0,White,75,30,60
5415,3,7,28,19,0,White,60,15,60
5416,1,6,31,24,0,White,60,60,70
5418,1,4,27,10,0,White,70,70,70
5420,1,7,36,15,0,White,85,30,15
5422,1,6,74,2,1,White,40,15,0
5423,1,6,49,12,1,White,85,100,60
5425,2,1,82,12,0,White,0,90,40
5427,3,6,75,21,1,White,40,30,60
5431,2,1,38,16,0,Non-White,50,70,60
5432,2,3,41,18,0,White,30,70,15
5433,1,2,49,21,1,White,85,70,50
5434,2,3,55,19,1,White,50,60,40
5436,1,5,76,10,1,White,70,40,50
5437,2,1,26,19,1,Non-White,10,75,0
5438,1,7,45,21,0,White,85,15,50
5439,2,1,64,2,1,White,30,100,50
5441,1,7,40,21,0,White,85,30,60
5442,2,1,46,16,1,White,0,85,50
5443,2,1,60,9,0,White,15,85,30
5444,3,7,70,18,1,White,85,40,60
5445,3,5,45,22,0,White,75,40,75
5449,1,6,51,17,0,White,100,50,15
5450,1,6,62,16,1,White,70,60,50
5451,2,6,21,16,0,White,60,85,60
5453,2,6,51,24,1,White,70,40,60
5455,2,2,49,24,0,Non-White,60,70,50
5456,1,5,65,15,0,White,100,40,50
5457,3,6,67,20,0,White,60,70,85
5459,3,3,40,14,1,White,70,15,60
5461,2,3,30,19,1,White,60,40,0
5462,1,2,54,16,1,White,70,60,15
5464,1,2,35,21,1,White,85,70,50
5466,3,3,30,11,0,White,15,60,30
5467,3,5,30,21,1,White,50,30,30
5469,2,5,20,22,0,White,70,40,80
5470,3,7,81,17,1,White,70,60,70
5471,2,1,81,10,1,White,60,85,50
5472,2,3,44,18,0,White,30,70,0
5473,1,5,54,4,0,White,85,60,60
5477,3,2,32,21,0,White,40,60,60
5478,2,2,32,21,0,White,40,70,30
5479,3,4,24,15,1,White,70,50,85
5480,1,6,23,10,0,White,80,30,50
5481,2,3,43,21,1,Non-White,25,50,25
5484,2,1,72,7,1,White,30,100,85
5485,2,3,20,19,0,White,50,100,70
5486,2,1,78,17,1,White,70,85,50
5488,1,4,42,21,1,White,60,30,15
5490,1,7,25,16,0,White,85,15,50
5491,3,3,45,16,1,White,60,60,40
5492,2,4,43,17,0,Non-White,40,85,70
5494,2,3,76,6,1,White,15,70,30
5495,2,5,42,24,1,White,30,60,50
5496,2,2,53,24,0,White,40,70,50
5498,3,5,36,18,0,White,70,15,70
5501,1,4,26,18,1,White,30,30,40
5503,1,3,67,15,1,White,70,60,60
5504,1,6,49,24,0,White,80,40,40
5507,1,5,65,14,1,White,70,60,50
5508,1,5,58,8,1,White,60,30,15
5509,1,7,57,11,0,White,100,0,0
5510,2,4,52,14,1,White,40,85,0
5511,2,1,69,14,0,White,30,85,0
5513,2,2,28,16,0,White,30,85,60
5514,2,4,30,6,1,White,50,60,15
5515,2,2,30,16,1,White,0,100,50
5516,1,7,41,15,0,White,100,60,60
5521,3,2,36,12,1,White,50,50,25
5522,2,1,69,8,0,White,0,85,50
5523,3,3,29,14,0,White,0,70,100
5526,2,2,31,21,0,White,40,60,50
5528,2,1,60,14,0,White,0,100,60
5529,1,5,70,14,1,White,85,30,70
5530,3,3,43,15,0,White,0,60,40
5531,1,7,47,18,0,White,70,0,70
5532,2,1,34,21,1,Non-White,50,80,65
5533,1,5,30,17,0,White,70,55,55
5534,1,7,77,15,0,White,80,15,0
5535,1,7,43,18,0,White,70,15,50
5536,1,7,35,17,0,White,85,0,40
5538,2,1,56,16,0,Non-White,15,100,85
5539,2,6,58,14,1,White,0,85,0
5540,1,2,44,16,1,White,50,50,15
5541,3,2,55,9,1,Non-White,15,30,30
5542,2,3,22,3,0,White,30,60,30
5543,3,6,45,22,0,White,60,50,60
5545,1,5,27,16,0,White,70,30,85
5546,1,7,35,15,0,White,100,0,0
5548,1,6,34,16,0,White,70,35,40
5550,1,7,60,3,1,White,85,60,50
5552,1,6,24,7,1,White,90,30,10
5553,3,4,46,18,1,White,15,40,85
5554,1,5,41,19,1,White,70,40,15
5555,3,1,57,20,0,White,70,60,30
5556,2,1,46,20,1,White,0,100,50
5558,1,6,77,11,1,White,40,0,90
5559,1,7,40,24,1,White,90,0,0
5560,1,7,35,19,1,White,60,60,0
5562,1,5,49,16,1,White,70,50,50
5563,1,5,37,8,1,White,100,60,70
5564,1,5,50,21,1,White,60,30,50
5567,3,5,67,16,0,White,85,0,70
5568,2,2,71,13,0,White,0,60,0
5569,1,7,71,16,1,White,85,40,50
5570,2,3,41,21,1,White,0,70,40
5571,2,2,75,10,0,White,60,70,15
5572,1,6,76,19,1,White,85,15,50
5574,3,6,46,23,1,White,70,15,85
5575,3,6,51,18,0,White,60,15,15
5576,2,1,33,17,1,White,50,50,30
5578,1,3,45,17,1,White,60,30,30
5579,2,1,44,17,0,Non-White,70,70,50
5580,1,2,70,12,1,White,70,50,50
5581,2,2,38,22,0,Non-White,0,75,50
5583,2,3,31,8,1,Non-White,0,100,50
5584,2,3,49,22,0,White,0,70,50
5586,2,2,71,4,1,White,40,85,0
5587,1,1,53,13,0,White,100,50,0
5588,3,6,56,19,0,White,50,50,70
5589,2,3,48,21,1,White,60,60,30
5590,3,5,81,17,1,White,70,30,85
5591,3,6,25,22,0,White,70,30,60
5594,2,1,25,15,0,White,15,85,70
5595,1,7,46,23,0,White,85,15,40
5596,1,5,20,22,0,White,75,10,50
5597,3,6,49,16,1,White,60,40,50
5598,1,6,55,19,0,White,60,50,60
5599,2,3,41,15,1,White,0,75,30
5602,2,4,30,1,0,White,15,60,50
5603,3,4,59,17,1,White,60,60,100
5604,1,6,43,24,1,White,85,5,5
5605,1,7,38,20,0,White,85,40,70
5606,1,5,69,20,0,White,70,40,15
5608,2,3,28,16,0,White,30,70,85
5609,2,1,66,16,1,White,30,60,50
5610,2,2,36,17,0,Non-White,40,50,40
5611,3,3,32,20,0,White,20,30,60
5613,1,7,46,16,1,White,80,60,70
5615,1,6,51,18,0,White,85,15,50
5617,2,2,46,15,1,White,70,60,30
5620,1,7,81,13,1,Non-White,100,25,20
5621,1,4,69,17,1,White,85,60,50
5624,1,7,56,16,1,White,100,0,60
5626,2,1,87,3,1,Non-White,0,85,0
5627,2,2,33,16,1,Non-White,15,85,60
5628,2,1,31,4,1,Non-White,0,70,15
5630,1,6,45,24,0,White,50,40,15
5631,3,4,77,15,1,White,70,60,60
5632,2,3,31,4,1,Non-White,60,70,60
5633,1,5,61,21,1,White,60,0,30
5636,2,2,54,13,1,White,60,85,50
5639,3,3,53,20,0,White,60,60,40
5640,2,3,45,17,1,White,60,50,0
5641,1,7,43,22,0,White,85,40,0
5643,1,6,32,19,0,White,70,60,60
5644,2,2,25,5,0,White,35,75,50
5645,2,1,62,21,0,White,30,70,50
5646,1,7,54,18,0,White,70,40,40
5647,2,3,46,3,0,White,50,70,30
5649,3,5,31,17,0,White,60,50,85
5650,2,1,44,23,0,Non-White,40,60,50
5653,2,3,79,18,1,White,75,85,55
5654,2,3,64,15,0,White,15,85,60
5655,2,2,46,15,1,White,60,85,50
5656,1,2,31,12,1,White,70,70,60
5660,2,1,38,21,1,White,20,70,30
5661,1,5,35,18,0,Non-White,70,60,50
5663,2,1,68,21,1,White,0,80,50
5664,2,6,59,20,1,White,70,85,60
5665,1,6,39,24,1,White,70,40,50
5666,3,4,63,12,1,White,85,70,30
5667,1,6,49,13,0,White,0,0,60
5668,1,7,47,19,0,White,85,50,0
5670,1,6,76,4,0,White,60,50,40
5674,2,6,79,2,1,Non-White,60,85,50
5676,1,7,62,18,1,White,85,40,70
5677,1,3,56,24,0,White,50,20,20
5678,2,3,76,15,1,White,30,70,60
5683,3,1,34,11,1,White,40,70,70
5684,3,6,49,16,0,White,70,40,50
5685,3,4,23,9,0,White,50,50,80
5687,2,1,46,24,1,White,40,85,50
5691,2,4,29,5,0,White,30,60,50
5692,1,7,44,17,0,White,85,15,0
5693,2,4,26,3,1,White,50,85,70
5694,2,1,40,17,0,White,30,85,30
5695,3,3,45,18,0,White,0,70,85
5697,3,5,43,18,0,White,0,70,85
5698,2,3,65,12,1,White,50,70,50
5700,2,3,64,2,1,White,50,75,50
5701,2,3,56,16,0,White,70,70,60
5705,2,3,34,14,1,White,0,85,50
5706,2,1,29,6,0,White,0,70,0
5707,2,1,46,20,1,Non-White,30,80,45
5709,1,6,53,19,0,Non-White,70,50,50
5710,1,7,64,14,0,White,85,0,0
5711,1,5,53,16,0,White,60,0,0
5713,2,1,51,23,1,White,0,80,20
5715,2,2,49,15,0,White,40,70,50
5718,2,2,39,15,1,White,70,70,100
5721,2,2,25,12,1,White,30,60,60
5722,1,5,24,13,0,White,70,40,15
5725,2,4,56,14,1,Non-White,15,40,0
5726,2,3,67,14,1,White,60,85,50
5727,2,2,29,15,0,White,60,80,20
5729,2,1,66,4,0,Non-White,10,100,0
5730,2,1,75,12,0,Non-White,70,85,60
5734,3,4,35,1,1,White,85,70,85
5736,2,3,72,6,1,White,70,30,50
5737,2,2,33,14,0,White,50,85,15
5739,1,4,31,15,1,White,70,60,30
5741,3,5,24,21,0,White,70,50,100
5742,2,4,21,21,0,White,30,70,70
5743,3,3,29,16,1,White,50,70,85
5744,2,1,51,17,0,White,50,60,50
5745,2,2,33,20,0,White,40,70,15
5747,3,2,32,18,1,White,70,60,40
5748,3,5,59,19,0,White,60,40,60
5751,2,1,37,13,0,White,0,30,15
5753,1,5,62,15,1,White,85,0,0
5754,2,1,51,16,1,White,0,60,85
5755,2,1,37,21,0,White,15,60,15
5757,3,6,53,15,1,White,50,50,50
5758,3,6,56,17,1,White,50,50,60
5760,3,4,42,22,0,White,60,30,60
5762,1,5,46,20,0,White,60,60,60
5763,2,2,36,16,0,White,60,85,50
5764,1,7,46,23,0,White,70,15,50
5765,1,7,25,22,0,White,85,15,0
5767,2,1,39,20,0,Non-White,15,70,30
5768,2,5,51,19,1,White,40,60,30
5772,2,1,51,20,1,Non-White,50,100,50
5773,2,3,37,10,1,Non-White,5,45,10
5774,1,7,47,22,0,White,70,30,15
5775,2,2,25,15,1,White,30,60,50
5776,2,1,59,5,0,White,50,60,30
5778,1,5,27,19,0,White,70,40,85
5779,2,1,25,13,1,White,15,70,15
5781,2,1,29,14,0,White,60,60,40
5782,1,6,58,6,0,White,70,50,0
5783,2,1,68,6,0,Non-White,30,60,50
5786,2,1,70,3,0,Non-White,8,100,10
5788,3,2,58,20,0,White,50,60,50
5790,2,2,42,20,0,White,40,85,50
5793,3,7,47,20,1,White,65,0,85
5795,2,3,27,18,1,White,30,60,50
5796,2,2,31,15,0,White,15,60,30
5798,2,1,59,22,1,White,15,85,0
5799,2,1,69,15,1,White,40,85,70
5801,2,1,73,3,1,White,40,85,0
5802,1,7,45,16,0,White,60,40,50
5804,2,1,33,18,1,Non-White,50,65,85
5806,2,2,25,13,1,White,30,85,30
5807,3,5,26,5,0,White,60,50,100
5808,1,7,71,3,1,White,85,0,0
5809,2,4,28,16,0,Non-White,40,50,50
5813,2,1,49,2,1,Non-White,0,100,70
5814,1,6,85,18,1,White,85,40,50
5815,3,2,21,16,0,White,60,70,60
5817,1,7,36,3,1,White,100,40,85
5818,3,3,62,9,1,White,75,50,75
5819,2,3,28,16,1,White,5,85,75
5820,2,1,29,4,1,White,50,100,70
5823,1,7,37,14,0,White,50,25,40
5824,3,2,38,17,0,White,30,30,15
5826,1,5,34,24,0,White,85,60,100
5827,2,2,29,18,1,White,70,80,40
5828,2,2,48,14,1,Non-White,60,85,85
5829,2,1,46,8,1,Non-White,50,100,50
5830,2,2,45,21,0,White,40,60,30
5833,2,2,54,10,1,Non-White,30,60,20
5836,2,1,37,22,1,Non-White,40,95,70
5838,2,5,34,15,0,White,30,80,95
5839,3,4,43,20,0,White,15,60,70
5840,3,3,25,2,1,White,50,50,85
5843,1,7,25,15,0,White,85,60,50
5845,1,7,29,20,1,White,85,40,30
5846,1,1,50,14,0,White,85,30,70
5847,2,1,54,10,1,Non-White,50,60,50
5850,2,2,29,20,1,White,40,70,50
5851,2,3,20,8,0,White,30,70,50
5852,3,5,31,8,1,White,50,60,50
5853,1,7,46,20,0,White,85,30,50
5854,2,3,29,20,0,White,5,65,40
5857,2,2,35,20,1,White,40,80,50
5858,2,1,26,15,1,White,70,80,75
5862,2,2,32,15,1,Non-White,40,85,50
5863,3,6,29,21,0,White,50,50,75
5864,3,4,53,24,0,White,0,30,50
5865,2,3,55,19,0,White,50,60,60
5867,3,3,28,14,0,White,70,60,70
5868,2,1,48,12,1,White,15,85,85
5871,1,5,64,22,0,White,80,50,75
5873,3,4,64,23,0,White,0,85,100
5874,2,1,72,2,1,White,15,80,70
5875,2,1,40,10,1,White,15,90,5
5876,2,2,36,11,1,White,80,70,70
5877,2,2,57,19,0,White,40,40,100
5878,2,3,68,14,0,White,50,50,0
5880,2,6,68,3,1,White,60,50,60
5882,1,6,37,19,1,White,100,15,50
5884,2,1,61,17,0,White,50,70,60
5886,2,1,33,22,0,White,30,85,30
5887,1,7,56,22,1,Non-White,85,15,30
5889,1,7,49,17,1,White,100,30,70
5892,2,1,23,3,0,Non-White,40,98,30
5893,2,3,32,17,0,White,40,100,70
5894,3,6,26,17,0,White,70,0,70
5896,3,4,34,20,0,White,60,60,70
5897,2,3,44,24,1,White,40,70,60
5898,2,1,82,13,1,White,0,100,50
5899,2,2,35,14,0,White,25,50,25
5900,2,2,57,21,0,White,70,85,70
5901,2,1,58,18,0,Non-White,0,85,40
5902,2,1,25,4,1,Non-White,10,55,45
5904,1,7,67,2,0,White,85,30,0
5905,2,5,41,14,0,White,70,70,60
5906,3,2,29,12,0,White,40,60,85
5907,2,3,68,18,0,Non-White,40,70,70
5909,1,4,30,14,0,White,70,40,15
5913,2,4,23,14,0,White,50,50,50
5914,2,5,47,9,1,White,15,85,70
5916,2,2,75,10,0,White,50,50,0
5919,1,7,43,8,1,White,70,0,0
5920,1,7,28,23,1,White,85,50,30
5921,2,1,56,2,0,Non-White,0,100,15
5922,3,3,37,16,0,White,40,60,15
5924,3,2,64,15,0,White,50,70,50
5925,1,7,52,24,0,White,70,0,60
5926,2,1,37,15,0,Non-White,60,100,15
5927,1,5,43,21,0,White,80,20,30
5928,2,1,40,15,1,White,50,85,15
5929,2,3,28,15,1,White,50,85,60
5931,2,1,33,14,1,Non-White,25,85,50
5933,2,1,32,14,0,White,30,60,60
5935,1,2,27,14,1,White,85,30,50
5936,1,6,31,19,0,White,75,70,70
5937,3,6,40,22,0,Non-White,50,50,50
5938,3,6,37,17,0,White,70,60,60
5939,2,1,53,22,1,White,40,85,60
5941,2,2,32,13,1,White,30,85,85
5944,1,7,81,18,0,White,80,40,70
5945,1,6,26,12,0,White,90,50,10
5946,3,4,45,16,1,White,0,70,70
5949,1,6,33,22,1,Non-White,85,65,50
5950,2,2,31,20,0,Non-White,50,85,65
5951,2,1,39,19,0,White,40,70,50
5952,1,5,31,22,1,White,70,0,50
5953,1,6,35,16,0,White,60,55,55
5954,1,5,39,17,1,White,70,15,30
5956,1,6,30,17,0,White,70,40,50
5957,2,1,43,21,0,White,35,80,50
5958,2,2,36,12,0,Non-White,40,70,60
5959,2,3,40,17,0,White,15,70,40
5962,2,1,53,14,1,White,60,85,40
5963,3,2,36,20,0,White,70,40,60
5964,1,6,29,3,0,White,85,15,0
5967,1,3,38,21,1,White,60,0,0
5968,2,1,30,18,0,Non-White,25,80,65
5969,2,2,25,5,1,White,25,75,15
5970,2,1,28,17,0,White,40,70,60
5973,1,3,44,19,1,White,70,60,55
5976,3,1,28,15,1,White,40,40,85
5979,1,2,37,15,1,White,70,60,50
5981,1,5,41,17,0,White,85,40,50
5982,2,2,60,20,1,White,0,70,50
5983,1,3,50,22,0,White,85,50,60
5984,3,1,48,20,0,White,15,70,85
5987,1,7,53,3,1,White,90,20,30
5989,1,4,79,14,0,White,70,60,30
5990,1,7,31,16,0,White,80,1,60
5991,1,6,59,23,1,White,70,30,40
