caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
3779,2,5,70,60,15
3781,2,3,0,85,85
3783,2,3,40,65,40
3784,3,7,0,50,100
3785,3,7,85,40,60
3786,1,6,60,40,50
3787,2,1,15,70,60
3789,2,2,15,70,50
3791,1,7,85,30,30
3792,2,1,40,50,15
3794,1,5,70,40,50
3796,2,2,50,50,50
3797,3,2,60,40,60
3798,2,6,0,50,0
3799,1,6,70,0,60
3800,3,7,60,30,85
3801,2,4,0,70,0
3802,1,7,85,15,50
3803,3,3,60,70,70
3806,2,1,15,85,0
3807,1,5,85,30,50
3808,2,5,50,60,70
3809,2,2,30,70,60
3810,2,5,60,60,50
3811,2,2,30,60,30
3812,2,1,15,85,40
3813,1,2,85,60,60
3815,1,6,70,30,50
3817,3,7,70,85,50
3818,3,4,15,0,85
3821,1,7,100,0,70
3822,2,1,30,85,60
3825,2,3,50,60,40
3826,3,3,40,60,70
3827,2,2,25,60,50
3828,1,7,98,15,15
3829,2,6,70,70,60
3832,3,4,60,40,0
3833,2,1,50,85,60
3835,1,2,85,70,50
3836,2,1,50,100,85
3837,1,2,100,50,100
3839,1,6,85,15,85
3840,3,3,0,40,40
3841,2,3,50,85,40
3842,1,4,70,50,70
3843,2,2,40,85,85
3844,2,1,50,85,60
3847,1,6,60,30,0
3848,3,4,40,30,50
3849,3,5,75,50,50
3851,2,1,50,70,50
3852,2,5,40,50,30
3855,2,1,40,70,30
3857,1,6,100,15,30
3858,1,6,85,50,40
3861,1,7,85,30,30
3862,3,5,15,15,60
3863,2,2,15,85,50
3864,2,3,70,60,70
3868,1,2,70,60,40
3869,1,5,70,40,85
3871,2,3,50,60,50
3873,2,1,40,60,0
3874,1,6,70,50,30
3875,2,2,0,85,50
3876,3,4,50,50,60
3878,3,3,50,15,50
3879,2,2,0,70,0
3881,2,1,40,85,0
3882,2,2,70,85,70
3883,2,2,0,85,70
3885,2,1,30,70,0
3886,1,7,85,0,40
3887,1,4,50,50,0
3888,2,1,30,70,50
3889,2,2,35,65,15
3891,2,1,25,50,25
3892,2,2,40,85,85
3893,2,1,70,85,60
3894,2,1,15,70,40
3895,2,1,30,70,30
3896,2,3,30,85,60
3897,2,2,40,95,80
3899,1,5,95,10,40
3900,2,2,40,90,70
3901,1,6,80,30,50
3902,1,7,70,15,15
3903,1,5,15,40,40
3904,2,3,60,85,30
3905,2,2,60,70,60
3906,2,4,20,60,80
3907,1,2,90,20,50
3908,2,1,70,85,15
3913,1,7,85,60,60
3916,3,4,40,60,85
3917,2,1,40,85,60
3919,1,5,70,30,60
3921,1,7,70,60,70
3923,3,5,60,30,70
3925,2,3,0,60,50
3926,1,6,85,15,60
3927,3,7,50,20,60
3928,3,6,70,30,85
3930,1,7,50,50,50
3932,2,2,15,70,60
3933,2,3,50,60,50
3934,1,5,85,30,85
3935,3,3,30,60,60
3936,2,3,30,60,30
3937,1,5,60,15,50
3938,2,4,70,70,50
3939,1,5,40,30,15
3940,3,7,60,30,70
3941,2,1,15,85,60
3942,1,2,85,70,60
3943,1,5,80,20,40
3944,3,6,60,70,85
3945,1,7,65,25,25
3946,1,7,70,70,40
3948,3,5,60,40,70
3950,2,1,50,70,50
3952,2,1,40,85,40
3954,2,1,50,70,60
3955,3,6,50,50,60
3956,1,7,70,70,50
3957,2,1,0,85,0
3959,1,5,85,40,50
3961,2,1,0,100,0
3962,2,2,40,70,50
3963,2,2,60,70,15
3964,1,6,65,45,30
3967,2,1,70,85,50
3969,1,7,70,60,50
3972,1,4,60,60,30
3973,1,6,85,30,60
3974,2,3,65,75,50
3976,1,3,60,60,30
3977,2,4,15,85,60
