us,id,amrev,amaff,sumam,fedpet,constit,sgam
353/0436,469,0,0,0,0,0,0
353/0448,471,0,0,0,0,0,0
353/0547,472,0,0,0,0,0,0
353/0550,473,0,0,0,0,0,0
353/0553,474,1,1,2,0,0,1
353/0569,475,0,0,0,0,0,0
353/0583,476,0,0,0,0,0,0
353/0586,477,0,0,0,1,0,0
353/0657,478,0,0,0,0,0,0
353/0685,479,0,0,0,1,0,0
353/0692,480,0,0,0,1,0,0
353/0920,482,0,0,0,0,0,0
353/0920,481,0,0,0,0,0,0
353/0925,483,0,0,0,0,0,0
353/0926,484,0,0,0,0,0,0
353/0963,486,0,0,0,1,0,0
353/0963,485,0,0,0,1,0,0
354/0001,487,0,0,0,1,1,0
354/0001,488,0,0,0,1,1,0
354/0091,489,0,0,0,0,0,0
354/0114,490,0,0,0,0,0,0
354/0118,491,0,0,0,0,1,0
354/0129,492,0,0,0,0,0,0
354/0147,493,0,0,0,0,0,0
354/0156,494,0,0,0,0,1,0
354/0178,495,1,1,2,0,1,0
354/0234,496,0,0,0,0,1,0
354/0271,497,0,0,0,1,0,0
354/0278,498,0,0,0,0,0,0
354/0284,499,1,0,1,0,1,0
354/0298,501,0,0,0,0,0,0
354/0298,502,0,0,0,0,0,0
354/0298,500,1,0,1,0,0,0
354/0351,503,0,0,0,1,0,0
354/0363,504,0,0,0,0,0,0
354/0390,505,0,0,0,0,1,0
354/0393,506,0,0,0,0,0,0
354/0394,507,0,0,0,0,0,0
354/0416,508,0,0,0,0,1,0
354/0436,509,1,1,2,0,1,0
354/0449,510,0,0,0,0,0,0
354/0457,511,0,0,0,0,1,0
354/0476,513,0,1,1,0,1,0
354/0476,512,4,0,4,0,1,0
354/0515,514,0,0,0,1,0,0
354/0517,515,0,0,0,0,0,0
354/0521,516,0,0,0,0,0,0
354/0524,518,0,0,0,0,0,0
354/0524,517,0,0,0,1,0,0
354/0901,519,0,0,0,0,0,0
354/0906,520,0,0,0,0,0,0
354/0917,521,0,0,0,0,0,0
354/0929,523,0,0,0,0,0,0
354/0929,522,0,0,0,0,0,0
354/0929,524,0,0,0,0,0,0
354/0930,525,0,0,0,0,0,0
354/0930,526,0,0,0,0,0,0
354/0931,527,0,0,0,0,0,0
355/0001,528,1,0,1,0,0,0
355/0002,529,1,0,1,0,0,0
355/0018,530,0,0,0,0,0,0
355/0020,531,0,0,0,0,0,0
355/0024,532,0,0,0,1,0,0
355/0028,533,0,0,0,0,1,0
355/0041,534,0,0,0,0,0,0
355/0049,535,0,0,0,0,1,0
355/0062,536,0,0,0,0,0,0
355/0066,537,0,0,0,0,0,0
355/0080,538,0,0,0,0,0,0
355/0083,539,0,0,0,0,0,0
355/0096,540,0,0,0,0,0,0
355/0107,541,0,0,0,0,0,0
355/0115,542,0,0,0,0,0,0
355/0131,543,0,0,0,0,0,0
355/0141,545,0,0,0,0,0,0
355/0141,544,0,0,0,0,0,0
355/0155,546,0,0,0,0,1,0
355/0169,547,0,0,0,0,0,0
355/0171,548,0,0,0,1,0,0
355/0175,553,0,0,0,0,0,0
355/0175,554,0,0,0,0,0,0
355/0175,551,0,0,0,0,0,0
355/0175,552,0,0,0,0,0,0
355/0175,550,0,0,0,0,0,0
355/0175,555,0,0,0,1,0,0
355/0175,549,0,0,0,1,0,0
355/0184,556,0,0,0,0,1,0
355/0220,557,0,0,0,0,1,0
355/0225,558,0,0,0,0,1,0
355/0233,559,0,0,0,1,0,0
355/0253,560,0,0,0,1,0,0
355/0269,561,0,0,0,0,0,0
355/0271,562,0,0,0,0,0,0
355/0273,563,0,0,0,0,0,0
355/0281,564,0,0,0,0,0,0
355/0282,565,0,0,0,0,0,0
355/0286,566,0,0,0,1,1,0
355/0300,569,0,0,0,1,0,0
355/0300,567,0,0,0,0,0,0
355/0300,568,0,0,0,1,0,0
355/0313,570,0,0,0,0,0,0
355/0339,571,0,0,0,0,1,0
355/0339,572,0,0,0,0,1,0
355/0368,573,0,0,0,0,0,0
355/0369,574,0,0,0,0,0,0
355/0373,575,0,0,0,0,0,0
355/0389,576,0,0,0,0,0,0
355/0391,577,1,1,2,0,0,0
355/0392,578,0,0,0,0,0,0
355/0393,579,0,0,0,0,0,0
355/0396,580,1,1,2,1,0,0
355/0411,582,0,0,0,0,0,0
355/0411,581,0,0,0,1,0,0
355/0415,583,0,0,0,0,0,0
355/0415,585,0,0,0,1,0,0
355/0415,584,0,0,0,0,0,0
355/0424,586,0,0,0,0,0,0
355/0426,587,0,0,0,0,0,0
355/0453,588,0,0,0,1,0,0
355/0465,589,0,0,0,0,0,0
355/0466,590,0,0,0,1,1,0
355/0484,591,0,0,0,1,1,0
355/0484,592,0,0,0,0,1,0
355/0489,594,0,0,0,0,1,0
355/0489,593,2,0,2,0,1,0
355/0534,595,4,0,4,0,0,0
355/0554,596,0,0,0,0,0,0
355/0563,597,0,0,0,0,0,0
355/0570,598,0,0,0,1,0,0
355/0579,599,0,0,0,0,0,0
355/0579,600,0,0,0,0,0,0
355/0587,601,0,0,0,1,0,0
355/0595,602,0,0,0,1,0,0
355/0597,603,1,0,1,0,0,0
355/0600,604,0,0,0,0,0,0
355/0897,605,0,0,0,0,0,0
356/0001,606,0,0,0,0,0,0
356/0021,607,0,0,0,1,0,0
356/0024,608,0,0,0,0,0,0
356/0027,609,0,0,0,1,0,0
356/0030,610,0,0,0,0,0,0
356/0038,611,0,0,0,0,0,0
356/0041,612,0,0,0,0,0,0
356/0043,613,0,0,0,0,0,0
356/0044,614,0,0,0,0,0,0
356/0086,615,0,0,0,0,1,0
356/0129,616,0,0,0,0,0,0
356/0148,617,0,0,0,0,1,0
356/0165,618,0,0,0,0,0,0
356/0227,619,0,0,0,1,0,0
356/0252,620,0,0,0,0,0,0
356/0256,622,0,0,0,0,0,0
356/0256,621,0,0,0,0,0,0
356/0256,623,0,0,0,0,0,0
356/0260,624,0,0,0,0,0,0
356/0269,625,0,0,0,0,0,0
356/0271,626,0,0,0,0,0,0
356/0274,627,0,0,0,0,0,0
356/0282,629,1,3,4,1,0,0
356/0282,628,0,0,0,0,0,0
356/0309,630,0,0,0,1,0,0
356/0309,631,0,0,0,0,0,0
356/0320,632,0,0,0,0,0,0
356/0326,633,0,0,0,0,0,0
356/0335,634,0,0,0,0,0,0
356/0342,636,0,0,0,0,0,0
356/0342,635,0,0,0,1,0,0
356/0363,637,0,0,0,0,0,0
356/0369,638,0,0,0,0,0,0
356/0386,639,0,0,0,0,0,0
356/0390,640,0,0,0,0,1,0
356/0405,641,0,0,0,1,0,0
356/0412,642,0,0,0,0,0,0
356/0421,643,0,0,0,0,0,0
356/0464,644,0,0,0,0,1,0
356/0481,646,0,0,0,0,0,0
356/0481,645,1,0,1,1,0,0
356/0525,647,0,0,0,0,0,0
356/0560,648,0,0,0,0,1,0
356/0571,649,0,0,0,0,1,0
356/0576,650,0,0,0,0,0,0
356/0584,651,0,0,0,0,1,0
356/0590,652,0,0,0,0,0,0
356/0595,653,0,0,0,1,0,0
356/0604,654,0,0,0,0,0,0
356/0617,655,0,0,0,0,0,0
356/0634,656,0,0,0,0,0,0
356/0660,657,0,0,0,0,0,0
356/0670,658,0,0,0,0,0,0
356/0674,659,0,0,0,0,0,0
356/0677,660,0,0,0,1,0,0
356/0691,661,0,0,0,0,0,0
356/0906,662,0,0,0,0,0,0
357/0001,663,0,0,0,1,0,0
357/0010,664,0,0,0,0,0,0
357/0017,665,0,0,0,1,1,0
357/0028,666,0,0,0,0,0,0
357/0039,667,0,1,1,1,0,0
357/0051,669,0,0,0,0,0,0
357/0051,668,0,0,0,1,0,0
357/0063,670,0,0,0,0,0,0
357/0077,672,0,0,0,0,0,0
357/0077,671,0,0,0,0,0,0
357/0093,674,1,0,1,1,0,0
357/0093,675,0,1,1,0,0,0
357/0093,673,0,0,0,0,0,0
357/0116,676,0,0,0,0,0,0
357/0144,677,2,0,2,0,0,0
357/0155,678,0,0,0,1,0,0
357/0185,679,0,0,0,0,0,0
357/0193,680,0,0,0,1,0,0
357/0197,681,0,0,0,0,0,0
357/0214,682,0,0,0,0,1,0
357/0217,683,0,0,0,0,0,0
357/0221,684,0,0,0,0,0,0
357/0235,686,0,0,0,0,0,0
357/0235,685,0,0,0,0,0,0
357/0265,687,0,0,0,0,0,0
357/0275,689,1,3,4,1,0,1
357/0275,690,1,3,4,0,0,1
357/0275,691,1,3,4,0,0,1
357/0275,688,1,3,4,0,0,1
357/0301,692,0,0,0,0,1,0
357/0320,693,0,0,0,0,0,0
357/0345,694,0,0,0,1,0,0
357/0349,695,0,0,0,0,1,0
357/0357,697,0,0,0,1,0,0
357/0357,696,0,0,0,1,0,0
357/0371,698,0,0,0,0,1,0
357/0386,699,0,0,0,0,1,0
357/0399,700,0,0,0,0,1,0
357/0426,701,0,0,0,0,1,0
357/0433,702,0,0,0,0,1,0
357/0449,703,0,0,0,0,0,0
357/0468,704,1,0,1,0,1,0
357/0480,705,0,0,0,0,1,0
357/0493,706,0,0,0,0,1,0
357/0504,707,0,0,0,0,1,0
357/0513,708,0,0,0,0,1,0
