justid,caseid,year,vote,warrant,house,person,business,car,us,except,justideo
3,35,69,1,0,0,0,0,0,1,0,.875
3,36,69,1,0,0,0,0,0,1,0,.875
3,37,69,1,0,0,0,0,0,1,0,.875
3,38,69,1,0,0,1,0,0,0,0,.875
3,39,69,1,0,1,0,0,0,0,2,.875
3,40,69,1,0,0,0,1,0,1,0,.875
3,41,69,1,1,1,0,0,0,0,0,.875
3,42,69,1,0,1,0,0,0,0,0,.875
3,43,69,1,0,0,1,0,0,0,0,.875
3,44,70,1,0,0,0,1,0,1,1,.875
3,45,70,1,1,0,1,0,0,1,0,.875
3,46,70,1,0,1,0,0,0,0,0,.875
3,47,70,1,0,0,0,0,1,0,0,.875
3,48,71,1,0,1,0,0,0,0,1,.875
3,49,71,1,1,0,1,0,0,0,0,.875
3,50,71,1,0,0,1,0,0,1,0,.875
3,51,71,1,0,1,0,0,0,0,1,.875
3,52,71,1,1,0,0,0,1,0,0,.875
3,53,71,1,1,1,0,0,0,1,0,.875
3,54,72,0,0,0,0,1,0,1,1,.875
4,1,63,1,0,1,0,0,0,1,0,.875
4,2,63,1,0,0,0,1,0,1,0,.875
4,3,63,1,0,0,1,0,0,1,0,.875
4,4,63,1,0,1,0,0,0,0,0,.875
4,5,64,0,0,0,0,0,1,1,0,.875
4,6,64,0,1,1,0,0,0,0,0,.875
4,7,64,1,0,0,1,0,0,0,0,.875
4,8,65,1,1,1,0,0,0,1,0,.875
4,9,65,0,0,0,0,0,1,0,0,.875
4,10,65,0,0,1,0,0,0,0,0,.875
4,11,66,1,1,1,0,0,0,0,0,.875
4,12,66,1,0,1,0,0,0,1,1,.875
4,13,66,1,0,0,1,0,0,1,1,.875
4,14,67,1,0,0,0,0,1,0,0,.875
4,15,67,0,0,0,1,0,0,1,0,.875
4,16,67,1,0,1,0,0,0,0,2,.875
4,17,67,1,0,1,0,0,0,0,1,.875
4,18,67,1,0,0,0,1,0,0,0,.875
4,19,67,1,0,0,0,1,0,0,0,.875
4,20,67,1,0,1,0,0,0,0,1,.875
4,21,67,0,0,0,1,0,0,1,0,.875
4,22,68,1,0,1,0,0,0,0,0,.875
4,23,68,0,0,0,0,1,0,0,0,.875
4,24,68,1,0,0,0,0,1,1,1,.875
4,25,68,0,0,1,0,0,0,0,0,.875
4,26,68,1,0,0,1,0,0,0,0,.875
4,27,68,1,0,0,1,0,0,0,0,.875
4,28,68,0,0,0,1,0,0,0,0,.875
4,29,68,0,0,0,0,0,0,0,0,.875
4,30,68,0,1,0,0,1,0,0,0,.875
4,31,69,0,1,1,0,0,0,1,0,.875
4,32,69,1,0,0,0,1,0,1,0,.875
4,33,69,1,0,0,0,0,0,1,0,.875
4,34,69,1,0,1,0,0,0,1,0,.875
4,35,69,1,0,0,0,0,0,1,0,.875
4,36,69,1,0,0,0,0,0,1,0,.875
4,37,69,1,0,0,0,0,0,1,0,.875
4,38,69,0,0,0,1,0,0,0,0,.875
4,39,69,1,0,1,0,0,0,0,2,.875
4,40,69,0,0,0,0,1,0,1,0,.875
4,41,69,0,1,1,0,0,0,0,0,.875
4,42,69,0,0,1,0,0,0,0,0,.875
4,43,69,0,0,0,1,0,0,0,0,.875
4,44,70,0,0,0,0,1,0,1,1,.875
4,45,70,1,1,0,1,0,0,1,0,.875
4,46,70,0,0,1,0,0,0,0,0,.875
4,47,70,0,0,0,0,0,1,0,0,.875
4,48,71,1,0,1,0,0,0,0,1,.875
4,49,71,0,1,0,1,0,0,0,0,.875
4,50,71,0,0,0,1,0,0,1,0,.875
4,51,71,1,0,1,0,0,0,0,1,.875
4,52,71,0,1,0,0,0,1,0,0,.875
4,53,71,0,1,1,0,0,0,1,0,.875
4,54,72,1,0,0,0,1,0,1,1,.875
5,1,63,0,0,1,0,0,0,1,0,.73000002
5,2,63,0,0,0,0,1,0,1,0,.73000002
5,3,63,0,0,0,1,0,0,1,0,.73000002
5,4,63,0,0,1,0,0,0,0,0,.73000002
5,5,64,0,0,0,0,0,1,1,0,.73000002
5,6,64,0,1,1,0,0,0,0,0,.73000002
5,7,64,0,0,0,1,0,0,0,0,.73000002
5,8,65,0,1,1,0,0,0,1,0,.73000002
5,9,65,0,0,0,0,0,1,0,0,.73000002
5,10,65,0,0,1,0,0,0,0,0,.73000002
5,11,66,0,1,1,0,0,0,0,0,.73000002
5,12,66,0,0,1,0,0,0,1,1,.73000002
5,13,66,0,0,0,1,0,0,1,1,.73000002
5,14,67,0,0,0,0,0,1,0,0,.73000002
5,15,67,0,0,0,1,0,0,1,0,.73000002
5,16,67,0,0,1,0,0,0,0,2,.73000002
5,17,67,0,0,1,0,0,0,0,1,.73000002
5,18,67,0,0,0,0,1,0,0,0,.73000002
5,19,67,0,0,0,0,1,0,0,0,.73000002
5,20,67,0,0,1,0,0,0,0,1,.73000002
5,21,67,0,0,0,1,0,0,1,0,.73000002
5,22,68,0,0,1,0,0,0,0,0,.73000002
5,23,68,0,0,0,0,1,0,0,0,.73000002
5,24,68,1,0,0,0,0,1,1,1,.73000002
5,25,68,0,0,1,0,0,0,0,0,.73000002
5,26,68,0,0,0,1,0,0,0,0,.73000002
5,27,68,1,0,0,1,0,0,0,0,.73000002
5,28,68,0,0,0,1,0,0,0,0,.73000002
5,29,68,0,0,0,0,0,0,0,0,.73000002
5,30,68,0,1,0,0,1,0,0,0,.73000002
5,31,69,0,1,1,0,0,0,1,0,.73000002
5,32,69,0,0,0,0,1,0,1,0,.73000002
5,33,69,0,0,0,0,0,0,1,0,.73000002
5,34,69,0,0,1,0,0,0,1,0,.73000002
5,35,69,0,0,0,0,0,0,1,0,.73000002
5,36,69,1,0,0,0,0,0,1,0,.73000002
5,37,69,1,0,0,0,0,0,1,0,.73000002
5,38,69,1,0,0,1,0,0,0,0,.73000002
5,39,69,1,0,1,0,0,0,0,2,.73000002
5,40,69,0,0,0,0,1,0,1,0,.73000002
5,41,69,0,1,1,0,0,0,0,0,.73000002
5,42,69,0,0,1,0,0,0,0,0,.73000002
5,43,69,0,0,0,1,0,0,0,0,.73000002
5,44,70,0,0,0,0,1,0,1,1,.73000002
5,45,70,1,1,0,1,0,0,1,0,.73000002
5,46,70,0,0,1,0,0,0,0,0,.73000002
5,47,70,1,0,0,0,0,1,0,0,.73000002
5,48,71,0,0,1,0,0,0,0,1,.73000002
5,49,71,0,1,0,1,0,0,0,0,.73000002
5,50,71,0,0,0,1,0,0,1,0,.73000002
5,51,71,0,0,1,0,0,0,0,1,.73000002
5,52,71,0,1,0,0,0,1,0,0,.73000002
5,53,71,0,1,1,0,0,0,1,0,.73000002
5,54,72,1,0,0,0,1,0,1,1,.73000002
5,55,72,0,0,0,1,0,0,0,0,.73000002
5,56,72,1,0,1,0,0,0,1,0,.73000002
5,57,72,1,1,0,1,0,0,0,0,.73000002
5,58,72,0,0,0,0,0,0,1,0,.73000002
5,59,73,0,0,0,1,0,0,1,1,.73000002
5,60,73,0,0,0,1,0,0,1,1,.73000002
5,61,73,1,1,0,0,0,0,1,0,.73000002
5,62,73,0,0,0,0,0,1,0,1,.73000002
5,63,73,0,0,0,1,0,0,0,0,.73000002
5,64,73,0,0,0,0,0,1,1,1,.73000002
5,65,73,0,0,0,0,0,1,0,0,.73000002
5,66,73,0,0,0,1,0,0,1,0,.73000002
5,67,73,0,0,0,0,1,0,0,0,.73000002
5,68,74,0,1,0,0,1,0,1,1,.73000002
5,69,74,0,0,1,0,0,0,1,1,.73000002
5,70,74,0,0,0,1,0,0,1,0,.73000002
5,71,74,0,0,0,0,0,1,1,1,.73000002
5,72,74,1,0,0,0,1,0,0,2,.73000002
5,73,74,0,0,0,0,0,1,0,0,.73000002
5,74,75,0,0,0,1,0,0,0,0,.73000002
5,75,75,0,0,0,1,0,0,0,0,.73000002
5,76,75,0,0,0,0,0,1,0,0,.73000002
6,1,63,1,0,1,0,0,0,1,0,.75
6,2,63,1,0,0,0,1,0,1,0,.75
6,3,63,1,0,0,1,0,0,1,0,.75
6,4,63,1,0,1,0,0,0,0,0,.75
6,5,64,0,0,0,0,0,1,1,0,.75
6,6,64,1,1,1,0,0,0,0,0,.75
6,7,64,0,0,0,1,0,0,0,0,.75
6,8,65,1,1,1,0,0,0,1,0,.75
6,9,65,0,0,0,0,0,1,0,0,.75
6,10,65,0,0,1,0,0,0,0,0,.75
6,11,66,1,1,1,0,0,0,0,0,.75
6,12,66,1,0,1,0,0,0,1,1,.75
6,13,66,1,0,0,1,0,0,1,1,.75
6,14,67,1,0,0,0,0,1,0,0,.75
6,15,67,0,0,0,1,0,0,1,0,.75
6,16,67,1,0,1,0,0,0,0,2,.75
6,17,67,1,0,1,0,0,0,0,1,.75
6,18,67,1,0,0,0,1,0,0,0,.75
6,19,67,0,0,0,0,1,0,0,0,.75
6,20,67,1,0,1,0,0,0,0,1,.75
6,21,67,0,0,0,1,0,0,1,0,.75
6,22,68,1,0,1,0,0,0,0,0,.75
6,23,68,0,0,0,0,1,0,0,0,.75
6,24,68,1,0,0,0,0,1,1,1,.75
6,25,68,0,0,1,0,0,0,0,0,.75
6,26,68,1,0,0,1,0,0,0,0,.75
6,27,68,1,0,0,1,0,0,0,0,.75
6,28,68,0,0,0,1,0,0,0,0,.75
6,29,68,1,0,0,0,0,0,0,0,.75
6,30,68,0,1,0,0,1,0,0,0,.75
6,31,69,1,1,1,0,0,0,1,0,.75
6,32,69,1,0,0,0,1,0,1,0,.75
6,33,69,1,0,0,0,0,0,1,0,.75
6,34,69,1,0,1,0,0,0,1,0,.75
6,35,69,1,0,0,0,0,0,1,0,.75
6,36,69,1,0,0,0,0,0,1,0,.75
6,37,69,1,0,0,0,0,0,1,0,.75
6,38,69,0,0,0,1,0,0,0,0,.75
6,39,69,1,0,1,0,0,0,0,2,.75
6,40,69,0,0,0,0,1,0,1,0,.75
6,41,69,0,1,1,0,0,0,0,0,.75
6,42,69,0,0,1,0,0,0,0,0,.75
6,43,69,0,0,0,1,0,0,0,0,.75
6,44,70,1,0,0,0,1,0,1,1,.75
6,45,70,1,1,0,1,0,0,1,0,.75
6,46,70,0,0,1,0,0,0,0,0,.75
6,47,70,1,0,0,0,0,1,0,0,.75
6,48,71,1,0,1,0,0,0,0,1,.75
6,49,71,0,1,0,1,0,0,0,0,.75
6,50,71,1,0,0,1,0,0,1,0,.75
6,51,71,1,0,1,0,0,0,0,1,.75
6,52,71,0,1,0,0,0,1,0,0,.75
6,53,71,1,1,1,0,0,0,1,0,.75
6,54,72,1,0,0,0,1,0,1,1,.75
6,55,72,1,0,0,1,0,0,0,0,.75
6,56,72,1,0,1,0,0,0,1,0,.75
6,57,72,1,1,0,1,0,0,0,0,.75
6,58,72,0,0,0,0,0,0,1,0,.75
6,59,73,1,0,0,1,0,0,1,1,.75
6,60,73,1,0,0,1,0,0,1,1,.75
6,61,73,1,1,0,0,0,0,1,0,.75
6,62,73,1,0,0,0,0,1,0,1,.75
6,63,73,1,0,0,1,0,0,0,0,.75
6,64,73,0,0,0,0,0,1,1,1,.75
6,65,73,0,0,0,0,0,1,0,0,.75
6,66,73,1,0,0,1,0,0,1,0,.75
6,67,73,1,0,0,0,1,0,0,0,.75
6,68,74,1,1,0,0,1,0,1,1,.75
6,69,74,1,0,1,0,0,0,1,1,.75
6,70,74,0,0,0,1,0,0,1,0,.75
6,71,74,1,0,0,0,0,1,1,1,.75
6,72,74,1,0,0,0,1,0,0,2,.75
6,73,74,0,0,0,0,0,1,0,0,.75
6,74,75,0,0,0,1,0,0,0,0,.75
6,75,75,0,0,0,1,0,0,0,0,.75
6,76,75,0,0,0,0,0,1,0,0,.75
6,77,75,1,0,0,0,0,1,0,0,.75
6,78,76,1,0,0,1,0,0,1,0,.75
6,79,76,1,0,0,0,0,1,1,1,.75
6,80,76,1,0,0,0,0,0,1,1,.75
6,81,76,1,0,1,0,0,0,1,1,.75
6,82,76,0,0,0,0,0,1,0,0,.75
6,83,76,0,1,1,0,0,0,1,1,.75
6,84,76,1,1,0,0,0,1,1,1,.75
6,85,77,1,0,0,0,0,1,1,3,.75
6,86,77,0,0,0,0,1,0,1,1,.75
6,87,77,1,0,0,1,0,0,1,2,.75
6,88,77,0,0,0,0,0,1,1,0,.75
6,89,77,1,0,0,1,0,0,0,0,.75
6,90,78,0,0,0,0,1,0,1,1,.75
6,91,78,0,0,0,0,1,0,0,0,.75
6,92,78,1,0,0,0,1,0,0,0,.75
6,93,78,0,1,0,0,1,0,0,0,.75
6,94,78,0,1,1,0,0,0,0,0,.75
6,95,78,1,0,0,0,0,0,0,0,.75
6,96,79,0,0,0,0,0,1,0,0,.75
6,97,79,1,0,0,1,0,0,1,1,.75
6,98,79,0,0,0,0,1,0,1,1,.75
6,99,79,1,0,0,1,0,0,1,0,.75
6,100,79,1,0,0,0,0,0,1,0,.75
6,101,79,0,0,0,1,0,0,0,1,.75
6,102,79,0,0,0,1,0,0,0,0,.75
6,103,79,0,0,0,0,0,0,0,0,.75
6,104,79,0,0,0,0,0,1,0,1,.75
6,105,79,1,0,0,1,0,0,0,0,.75
6,106,79,0,0,0,1,0,0,0,0,.75
6,107,79,0,0,0,1,0,0,0,0,.75
6,108,80,0,0,1,0,0,0,0,0,.75
6,109,80,0,0,1,0,0,0,0,0,.75
6,110,80,0,0,0,1,0,0,1,1,.75
6,111,80,1,0,0,1,0,0,1,0,.75
6,112,80,0,0,0,1,0,0,1,0,.75
6,113,80,1,1,0,0,0,0,1,0,.75
6,114,80,1,0,0,0,0,0,0,0,.75
6,117,80,0,0,0,1,0,0,0,0,.75
6,118,80,1,0,0,0,0,1,0,1,.75
6,119,81,1,0,0,0,0,1,1,0,.75
6,120,81,0,0,1,0,0,0,1,0,.75
6,121,81,0,0,0,0,1,0,1,2,.75
6,122,81,0,0,0,0,0,1,0,0,.75
6,123,81,1,0,0,0,0,1,0,0,.75
7,43,69,0,0,0,1,0,0,0,0,.115
7,44,70,1,0,0,0,1,0,1,1,.115
7,45,70,1,1,0,1,0,0,1,0,.115
7,46,70,1,0,1,0,0,0,0,0,.115
7,47,70,1,0,0,0,0,1,0,0,.115
7,48,71,1,0,1,0,0,0,0,1,.115
7,49,71,1,1,0,1,0,0,0,0,.115
7,50,71,1,0,0,1,0,0,1,0,.115
7,51,71,1,0,1,0,0,0,0,1,.115
7,52,71,1,1,0,0,0,1,0,0,.115
7,53,71,1,1,1,0,0,0,1,0,.115
7,54,72,1,0,0,0,1,0,1,1,.115
7,55,72,1,0,0,1,0,0,0,0,.115
7,56,72,1,0,1,0,0,0,1,0,.115
7,57,72,1,1,0,1,0,0,0,0,.115
7,58,72,0,0,0,0,0,0,1,0,.115
7,59,73,1,0,0,1,0,0,1,1,.115
7,60,73,1,0,0,1,0,0,1,1,.115
7,61,73,1,1,0,0,0,0,1,0,.115
7,62,73,1,0,0,0,0,1,0,1,.115
7,63,73,1,0,0,1,0,0,0,0,.115
7,64,73,1,0,0,0,0,1,1,1,.115
7,65,73,1,0,0,0,0,1,0,0,.115
7,66,73,1,0,0,1,0,0,1,0,.115
7,67,73,1,0,0,0,1,0,0,0,.115
7,68,74,1,1,0,0,1,0,1,1,.115
7,69,74,1,0,1,0,0,0,1,1,.115
7,70,74,1,0,0,1,0,0,1,0,.115
7,71,74,1,0,0,0,0,1,1,1,.115
7,72,74,1,0,0,0,1,0,0,2,.115
7,73,74,1,0,0,0,0,1,0,0,.115
7,74,75,0,0,0,1,0,0,0,0,.115
7,75,75,0,0,0,1,0,0,0,0,.115
7,76,75,0,0,0,0,0,1,0,0,.115
7,77,75,1,0,0,0,0,1,0,0,.115
7,78,76,1,0,0,1,0,0,1,0,.115
7,79,76,1,0,0,0,0,1,1,1,.115
7,80,76,1,0,0,0,0,0,1,1,.115
7,81,76,1,0,1,0,0,0,1,1,.115
7,82,76,1,0,0,0,0,1,0,0,.115
7,83,76,1,1,1,0,0,0,1,1,.115
7,84,76,1,1,0,0,0,1,1,1,.115
7,85,77,1,0,0,0,0,1,1,3,.115
7,86,77,0,0,0,0,1,0,1,1,.115
7,87,77,1,0,0,1,0,0,1,2,.115
7,88,77,0,0,0,0,0,1,1,0,.115
7,89,77,1,0,0,1,0,0,0,0,.115
7,90,78,0,0,0,0,1,0,1,1,.115
7,91,78,0,0,0,0,1,0,0,0,.115
7,92,78,1,0,0,0,1,0,0,0,.115
7,93,78,1,1,0,0,1,0,0,0,.115
7,94,78,1,1,1,0,0,0,0,0,.115
7,95,78,1,0,0,0,0,0,0,0,.115
7,96,79,0,0,0,0,0,1,0,0,.115
7,97,79,1,0,0,1,0,0,1,1,.115
7,98,79,1,0,0,0,1,0,1,1,.115
7,99,79,1,0,0,1,0,0,1,0,.115
7,100,79,1,0,0,0,0,0,1,0,.115
7,101,79,0,0,0,1,0,0,0,1,.115
7,102,79,0,0,0,1,0,0,0,0,.115
7,103,79,1,0,0,0,0,0,0,0,.115
7,104,79,0,0,0,0,0,1,0,1,.115
7,105,79,1,0,0,1,0,0,0,0,.115
7,106,79,0,0,0,1,0,0,0,0,.115
7,107,79,1,0,0,1,0,0,0,0,.115
7,108,80,1,0,1,0,0,0,0,0,.115
7,109,80,1,0,1,0,0,0,0,0,.115
7,110,80,1,0,0,1,0,0,1,1,.115
7,111,80,1,0,0,1,0,0,1,0,.115
7,112,80,1,0,0,1,0,0,1,0,.115
7,113,80,1,1,0,0,0,0,1,0,.115
7,114,80,1,0,0,0,0,0,0,0,.115
7,115,80,1,0,0,1,0,0,0,1,.115
7,116,80,1,0,0,1,0,0,0,0,.115
7,117,80,0,0,0,1,0,0,0,0,.115
7,118,80,1,0,0,0,0,1,0,1,.115
7,119,81,1,0,0,0,0,1,1,0,.115
7,120,81,0,0,1,0,0,0,1,0,.115
7,121,81,1,0,0,0,1,0,1,2,.115
7,122,81,0,0,0,0,0,1,0,0,.115
7,123,81,1,0,0,0,0,1,0,0,.115
8,55,72,1,0,0,1,0,0,0,0,.16500001
8,56,72,1,0,1,0,0,0,1,0,.16500001
8,57,72,1,1,0,1,0,0,0,0,.16500001
8,58,72,0,0,0,0,0,0,1,0,.16500001
8,59,73,1,0,0,1,0,0,1,1,.16500001
8,60,73,1,0,0,1,0,0,1,1,.16500001
8,61,73,1,1,0,0,0,0,1,0,.16500001
8,62,73,1,0,0,0,0,1,0,1,.16500001
8,63,73,1,0,0,1,0,0,0,0,.16500001
8,64,73,0,0,0,0,0,1,1,1,.16500001
8,65,73,1,0,0,0,0,1,0,0,.16500001
8,66,73,1,0,0,1,0,0,1,0,.16500001
8,67,73,1,0,0,0,1,0,0,0,.16500001
8,68,74,1,1,0,0,1,0,1,1,.16500001
8,69,74,1,0,1,0,0,0,1,1,.16500001
8,70,74,1,0,0,1,0,0,1,0,.16500001
8,71,74,1,0,0,0,0,1,1,1,.16500001
8,72,74,1,0,0,0,1,0,0,2,.16500001
8,73,74,1,0,0,0,0,1,0,0,.16500001
8,74,75,0,0,0,1,0,0,0,0,.16500001
8,75,75,0,0,0,1,0,0,0,0,.16500001
8,76,75,0,0,0,0,0,1,0,0,.16500001
8,77,75,1,0,0,0,0,1,0,0,.16500001
8,78,76,1,0,0,1,0,0,1,0,.16500001
8,79,76,1,0,0,0,0,1,1,1,.16500001
8,80,76,1,0,0,0,0,0,1,1,.16500001
8,81,76,1,0,1,0,0,0,1,1,.16500001
8,82,76,1,0,0,0,0,1,0,0,.16500001
8,83,76,1,1,1,0,0,0,1,1,.16500001
8,84,76,1,1,0,0,0,1,1,1,.16500001
8,85,77,1,0,0,0,0,1,1,3,.16500001
8,86,77,0,0,0,0,1,0,1,1,.16500001
8,87,77,1,0,0,1,0,0,1,2,.16500001
8,88,77,0,0,0,0,0,1,1,0,.16500001
8,89,77,1,0,0,1,0,0,0,0,.16500001
8,90,78,0,0,0,0,1,0,1,1,.16500001
8,91,78,0,0,0,0,1,0,0,0,.16500001
8,92,78,1,0,0,0,1,0,0,0,.16500001
8,93,78,1,1,0,0,1,0,0,0,.16500001
8,94,78,0,1,1,0,0,0,0,0,.16500001
8,95,78,1,0,0,0,0,0,0,0,.16500001
8,96,79,0,0,0,0,0,1,0,0,.16500001
8,97,79,1,0,0,1,0,0,1,1,.16500001
8,98,79,1,0,0,0,1,0,1,1,.16500001
8,99,79,0,0,0,1,0,0,1,0,.16500001
8,100,79,1,0,0,0,0,0,1,0,.16500001
8,102,79,0,0,0,1,0,0,0,0,.16500001
8,104,79,0,0,0,0,0,1,0,1,.16500001
8,105,79,1,0,0,1,0,0,0,0,.16500001
8,106,79,0,0,0,1,0,0,0,0,.16500001
8,107,79,0,0,0,1,0,0,0,0,.16500001
8,108,80,0,0,1,0,0,0,0,0,.16500001
8,109,80,0,0,1,0,0,0,0,0,.16500001
8,110,80,1,0,0,1,0,0,1,1,.16500001
8,111,80,1,0,0,1,0,0,1,0,.16500001
8,112,80,1,0,0,1,0,0,1,0,.16500001
8,113,80,1,1,0,0,0,0,1,0,.16500001
8,114,80,1,0,0,0,0,0,0,0,.16500001
8,115,80,1,0,0,1,0,0,0,1,.16500001
8,116,80,1,0,0,1,0,0,0,0,.16500001
8,117,80,0,0,0,1,0,0,0,0,.16500001
8,118,80,1,0,0,0,0,1,0,1,.16500001
8,119,81,1,0,0,0,0,1,1,0,.16500001
8,120,81,0,0,1,0,0,0,1,0,.16500001
8,121,81,1,0,0,0,1,0,1,2,.16500001
8,122,81,0,0,0,0,0,1,0,0,.16500001
8,123,81,1,0,0,0,0,1,0,0,.16500001
9,1,63,0,0,1,0,0,0,1,0,1
9,2,63,0,0,0,0,1,0,1,0,1
9,3,63,0,0,0,1,0,0,1,0,1
9,4,63,0,0,1,0,0,0,0,0,1
9,5,64,0,0,0,0,0,1,1,0,1
9,6,64,0,1,1,0,0,0,0,0,1
9,7,64,0,0,0,1,0,0,0,0,1
9,8,65,1,1,1,0,0,0,1,0,1
9,9,65,0,0,0,0,0,1,0,0,1
9,10,65,0,0,1,0,0,0,0,0,1
9,11,66,0,1,1,0,0,0,0,0,1
9,12,66,1,0,1,0,0,0,1,1,1
9,13,66,1,0,0,1,0,0,1,1,1
9,14,67,0,0,0,0,0,1,0,0,1
9,15,67,0,0,0,1,0,0,1,0,1
9,16,67,1,0,1,0,0,0,0,2,1
9,17,67,0,0,1,0,0,0,0,1,1
9,18,67,0,0,0,0,1,0,0,0,1
9,19,67,0,0,0,0,1,0,0,0,1
9,20,67,0,0,1,0,0,0,0,1,1
9,21,67,0,0,0,1,0,0,1,0,1
9,22,68,0,0,1,0,0,0,0,0,1
9,23,68,0,0,0,0,1,0,0,0,1
9,24,68,1,0,0,0,0,1,1,1,1
9,25,68,0,0,1,0,0,0,0,0,1
9,26,68,1,0,0,1,0,0,0,0,1
9,27,68,1,0,0,1,0,0,0,0,1
9,28,68,0,0,0,1,0,0,0,0,1
9,29,68,0,0,0,0,0,0,0,0,1
