country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
6,1968,3.1,4.1,.448583,0,9.017968,.327368,.4046,1,0,1
6,1969,2.9,5.4,.448583,0,9.025696,.332322,.4166,1,0,1
6,1970,3,7.3,.448583,0,9.052165,.332413,.4465,.5,0,1
6,1971,3.8,9.4,.448583,0,9.065892,.326736,.4483,0,0,1
6,1972,4.2,8.300000000000001,.415083,0,9.101641000000001,.319749,.4557,0,0,1
6,1973,3.1,7.1,.415083,0,9.170038999999999,.374495,.4532,0,0,1
6,1974,3.1,14.9,.415083,0,9.149634000000001,.470403,.4635,.75,0,1
6,1975,4.5,27.2,.415083,0,9.139059,.412404,.4758,1,0,1
6,1976,5.7,14.9,.415083,0,9.164192,.449988,.4779,1,0,1
6,1977,6.1,13.9,.415083,0,9.186968999999999,.467249,.4926,1,0,1
6,1978,5.9,11.1,.415083,0,9.223553000000001,.444508,.4999,1,0,1
6,1979,5,14.5,.415083,0,9.253208000000001,.441741,.5009,.416667,0,1
6,1980,6.4,19.8,.415083,0,9.226902000000001,.419079,.4861,0,0,1
6,1981,9.800000000000001,11.7,.415083,0,9.212039000000001,.400765,.4586,0,0,1
6,1982,11.3,7.1,.415083,0,9.231807999999999,.403297,.441,0,0,1
6,1983,12.5,4.9,.415083,0,9.270965,.416426,.4298,0,0,1
6,1984,11.7,4.2,.415083,0,9.295783999999999,.458662,.4168,0,0,1
6,1985,11.2,6,.415083,0,9.326967,.457321,.4047,0,0,1
6,1986,11.1,3.5,.415083,0,9.369564,.413585,.3939,0,0,1
6,1987,10.2,4.8,.415083,0,9.415971000000001,.410683,.3935,0,0,1
6,1988,8.300000000000001,6.6,.415083,0,9.470317,.399266,.3829,0,0,1
6,1989,6.9,6.8,.415083,0,9.491073,.41761,.383353,0,0,1
6,1990,6.5,5.8,.415083,0,9.489259000000001,.416929,.383795,0,0,1
7,1955,4,.6,.614141,0,8.850517999999999,.322598,.2897,0,0,1
7,1956,3.2,3.6,.614141,0,8.913954,.336991,.2947,0,0,1
7,1957,4.3,2.2,.614141,0,8.90123,.320975,.2877,0,0,1
7,1958,6.5,1.4,.614141,0,8.881003,.295937,.2913,0,0,1
7,1959,5.5,2,.614141,0,8.896177,.297571,.2856,0,0,1
7,1960,6.3,1.2,.614141,0,8.889860000000001,.29237,.2759,0,0,1
7,1961,6.5,1.8,.614141,0,8.890273000000001,.301272,.2691,0,0,1
7,1962,5.4,1.7,.614141,0,8.936560999999999,.299415,.2597,0,0,1
7,1963,5,1.7,.614141,0,8.971575,.299077,.2513,0,0,1
7,1964,4.3,2.9,.614141,0,9.017241,.319065,.2509,0,0,1
7,1965,3.6,3.2,.614141,0,9.066932,.320393,.2557,0,0,1
7,1966,3.3,4.6,.614141,0,9.115259999999999,.335766,.2651,0,0,1
7,1967,3.8,3.7,.614141,0,9.130323000000001,.340805,.2829,0,0,1
7,1968,4.4,3.3,.614141,0,9.167642000000001,.363511,.2861,0,0,1
7,1969,4.4,4.7,.614141,0,9.207837,.367903,.286,0,0,1
7,1970,5.6,4.6,.614141,0,9.222664,.364172,.2905,0,0,1
7,1971,6.1,2,.614141,0,9.268515000000001,.36163,.2865,0,0,1
