dirdyadID,year,ln_ref_flow,pop_diff,distance,regimedif,wardiff,pop_between,pop_within,regime_between,regime_within,war_between,war_within
439541,1992,-0.693147182,-0.005357001,3.506000042,0.050000001,-1,-0.0070132,0.001656199,-0.379999995,0.430000007,-0.100000001,-0.899999976
571540,1992,-0.693147182,-0.009251,1.376999974,0.400000006,-1,-0.0100052,0.0007542,0.530000031,-0.130000025,-2.299999952,1.299999952
570475,1992,-0.693147182,-0.100249998,2.986999989,-0.100000001,0,-0.107882403,0.007632405,0.354999989,-0.454999983,0,0
560490,1992,-0.693147182,-0.001749001,2.055999994,0.300000012,1,-0.006401601,0.0046526,0.430000007,-0.129999995,-0.400000006,1.399999976
501438,1992,-0.693147182,0.019302001,3.559000015,0,0,0.0224995,-0.003197499,-0.064999998,0.064999998,-0.400000006,0.400000006
404571,1992,-0.693147182,-0.000353,3.769999981,-0.699999988,0,-0.0003934,4.03999E-05,-0.319999993,-0.379999995,0.200000003,-0.200000003
483517,1992,-0.693147182,-0.000239,1.417999983,0.150000006,0,0.0004908,-0.0007298,0.144999996,0.00500001,-0.100000001,0.100000001
570580,1992,-0.693147182,-0.011626,1.450999975,-0.800000012,0,-0.0129876,0.0013616,-0.180000007,-0.620000005,0.100000001,-0.100000001
520541,1992,-0.693147182,-0.005906001,2.118999958,0.300000012,0,-0.0082217,0.002315699,-0.180000007,0.480000019,0.5,-0.5
501565,1992,-0.693147182,0.024276001,1.976999998,-0.550000012,0,0.028137,-0.003860999,-0.475000024,-0.074999988,-0.699999988,0.699999988
490510,1992,-0.693147182,0.013267001,0,0.300000012,0,0.016056901,-0.0027899,0.095000006,0.205000013,0.600000024,-0.600000024
620530,1992,-0.693147182,-0.050608002,2.289999962,-0.349999994,0,-0.049571998,-0.001036003,-0.349999994,0,0,0
452625,1992,-0.693147182,-0.011399999,2.328000069,0.300000012,-1,-0.0100514,-0.001348599,0.409999996,-0.109999985,-1,0
450581,1992,-0.693147182,0.002023,3.920000076,-0.200000003,1,0.0021942,-0.0001712,-0.105000004,-0.094999999,0.600000024,0.399999976
551530,1992,-0.693147182,-0.047561999,1.819000006,0.300000012,0,-0.0465375,-0.0010245,0.300000012,0,0,0
482481,1992,-0.693147182,0.002075,0.68900001,-0.100000001,0,0.002234,-0.000159,0.394999981,-0.494999975,0.100000001,-0.100000001
552452,1992,-0.693147182,-0.005513001,2.677999973,-0.25,0,-0.006763401,0.001250399,-0.355000019,0.105000019,0.400000006,-0.400000006
625475,1992,-0.693147182,-0.074804999,1.768000007,-0.100000001,1,-0.081686102,0.006881103,-0.219999999,0.119999997,0.899999976,0.100000024
490625,1992,-0.693147182,0.013245001,0,0.349999994,-1,0.018741701,-0.005496699,0.349999994,0,-0.400000006,-0.600000024
461450,1992,-0.693147182,0.001163,0.825999975,-0.150000006,-1,0.0014014,-0.0002384,-0.105000004,-0.045000002,-0.699999988,-0.300000012
581516,1992,-0.693147182,-0.005229,1.110000014,0.349999994,-1,-0.0055766,0.0003476,0.185000002,0.164999992,-0.699999988,-0.300000012
600500,1992,-0.693147182,0.007751003,3.454999924,0,0,0.007057699,0.000693304,-0.115000002,0.115000002,-1.200000048,1.200000048
433522,1992,-0.693147182,0.00715,4.073999882,0.300000012,0,0.0080583,-0.0009083,0.24000001,0.060000002,0.699999988,-0.699999988
530517,1992,-0.693147182,0.048916999,0.93900001,0.349999994,-1,0.048237503,0.000679497,0.324999988,0.025000006,-1,0
434420,1992,-0.693147182,0.004169,1.393000007,-0.100000001,0,0.0044589,-0.0002899,0.444999993,-0.545000017,0,0
651581,1992,-0.693147182,0.055181995,2.996000051,-0.349999994,1,0.061574299,-0.006392304,-0.300000012,-0.049999982,0.600000024,0.399999976
434651,1992,-0.693147182,-0.050691996,2.473999977,0.449999988,-1,-0.0565974,0.005905405,0.495000005,-0.045000017,-0.699999988,-0.300000012
620510,1992,-0.693147182,-0.022792,3.236999989,-0.050000001,0,-0.0256394,0.0028474,-0.254999995,0.204999998,0.100000001,-0.100000001
510471,1992,-0.693147182,0.015159001,2.053999901,-0.100000001,0,0.017190101,-0.0020311,0.105000004,-0.205000013,-0.100000001,0.100000001
435439,1992,-0.693147182,-0.007325999,1.041000009,-0.050000001,0,-0.0083908,0.001064801,-0.100000001,0.050000001,0,0
450411,1992,-0.693147182,0.002211,1.360999942,0.349999994,1,0.0024138,-0.0002028,0.25999999,0.090000004,0.699999988,0.300000012
552510,1992,-0.693147182,-0.016891001,0.944000006,0,0,-0.0194996,0.002608599,-0.200000003,0.200000003,0.400000006,-0.400000006
450600,1992,-0.693147182,-0.022967001,1.934000015,0.349999994,1,-0.0242416,0.001274599,0.330000013,0.019999981,0.699999988,0.300000012
651436,1992,-0.693147182,0.047474995,2.181999922,-0.550000012,0,0.0526269,-0.005151905,-0.324999988,-0.225000024,0.200000003,-0.200000003
580420,1992,-0.693147182,0.012626,4.907000065,0.050000001,0,0.0138848,-0.0012588,0.550000012,-0.5,0,0
461620,1992,-0.693147182,-0.000766,2.003999949,0.200000003,0,-0.0010613,0.0002953,0.245000005,-0.045000002,-0.100000001,0.100000001
520436,1992,-0.693147182,0.00062,3.061000109,-0.400000006,0,-3.19984E-06,0.0006232,-0.129999995,-0.270000011,0.100000001,-0.100000001
571560,1992,-0.693147182,-0.037461001,0,0.100000001,-1,-0.039080001,0.001619,-0.005,0.105000004,-0.200000003,-0.800000012
452482,1992,-0.693147182,0.012858001,1.297999978,0.25,0,0.0148413,-0.0019833,-0.135000005,0.38499999,-0.100000001,0.100000001
551411,1992,-0.693147182,0.007186,1.881000042,0.649999976,0,0.007995999,-0.000809999,0.409999996,0.23999998,0,0
553541,1992,-0.693147182,-0.005967,0,-0.150000006,-1,-0.0077401,0.001773099,0.005,-0.155000001,-0.100000001,-0.899999976
620471,1992,-0.693147182,-0.007633,2.00999999,-0.150000006,0,-0.0084493,0.0008163,-0.150000006,0,0,0
615600,1992,-0.693147182,0.000723999,0,0,1,0.0019443,-0.001220301,0.120000005,-0.120000005,1,0
615581,1992,-0.693147182,0.025714001,4.25,-0.550000012,1,0.0283801,-0.002666099,-0.314999998,-0.235000014,0.899999976,0.100000024
541420,1992,-0.693147182,0.013912001,4.285999775,-0.699999988,1,0.0166479,-0.002735899,0.325000018,-1.024999976,0.100000001,0.899999976
510581,1992,-0.693147182,0.026744001,0.432999998,-0.5,0,0.0302963,-0.003552299,-0.200000003,-0.300000012,-0.100000001,0.100000001
411500,1992,-0.693147182,-0.017426999,1.661999941,0,0,-0.0195977,0.002170701,-0.045000002,0.045000002,-1.200000048,1.200000048
590551,1992,-0.693147182,-0.006471,1.949000001,0.200000003,0,-0.0072801,0.0008091,0.349999994,-0.149999991,0,0
570571,1992,-0.693147182,0.00052,0.337000012,-0.75,0,0.0005436,-2.36001E-05,-0.200000003,-0.550000012,0.100000001,-0.100000001
580625,1992,-0.693147182,-0.013819001,2.595000029,0.800000012,-1,-0.0132087,-0.0006103,0.754999995,0.045000017,-1,0
490438,1992,-0.693147182,0.034170002,2.217999935,0.25,0,0.039758399,-0.005588397,0.109999999,0.140000001,0.200000003,-0.200000003
552520,1992,-0.693147182,0.001526,1.687000036,-0.300000012,-1,0.0018525,-0.0003265,-0.295000017,-0.004999995,-0.200000003,-0.800000012
620451,1992,-0.693147182,0.000443,2.387000084,0,-1,0.0008714,-0.0004284,-0.239999995,0.239999995,-0.800000012,-0.199999988
